wilayah;rasio_guru_murid;harapan_hidup;pengeluaran_kapita_tahun;IPM;kepadatan_km2
Nganjuk;16;71.95;12349000;72.93;902
Ngawi;14;72.81;11563000;71.75;672
Nias;14;70.06;7196000;63.69;162
Nias Barat;8;69.43;6152000;62.93;209
Nias Selatan;11;69.21;7195000;63.17;146
Nias Utara;11;69.9;6575000;63.75;124
Nunukan;14;71.41;7446000;67.16;15
Ogan Ilir;15;65.98;11069000;67.96;158
Ogan Komering Ilir;16;69.01;11251000;68.02;43
Ogan Komering Ulu;14;68.55;10499000;70.24;78
Ogan Komering Ulu Selatan;12;67.36;8895000;65.87;76
Ogan Komering Ulu Timur;15;69.48;11759000;70.23;194
Pacitan;12;72.48;9184000;69.37;422
Padang Lawas;15;67.43;9207000;69.58;68
Padang Lawas Utara;15;67.53;10447000;70.93;69
Padang Pariaman;14;69.34;11159000;71.63;324
Pakpak Bharat;10;66.44;8558000;68.85;41
Pamekasan;13;68.03;8967000;66.99;1073
Pandeglang;18;65.2;8827000;65.84;464
Pangandaran;15;71.89;9389000;69.03;420
Pangkajene dan Kepulauan;14;67.12;11817000;69.79;248
Paniai;44;66.94;6554000;57.14;34
Parigi Moutong;17;64.35;10063000;66.26;88
Pasaman;14;67.96;8619000;67.41;76
Pasaman Barat;15;68.25;9381000;69.57;112
Pasangkayu;14;66.9;11330000;68.61;69
Paser;14;72.89;11181000;73.44;36
Pasuruan;18;70.55;10726000;69.68;1090
Pati;16;76.32;10948000;73.14;890
Pegunungan Arfak;15;67.5;5204000;57.01;14
Pegunungan Bintang;37;64.79;5618000;47.21;6
Pekalongan;19;73.8;10707000;70.81;1158
Pelalawan;15;71.53;12163000;72.93;34
Pemalang;20;73.65;8994000;67.19;1317
Penajam Paser Utara;17;71.71;11890000;72.55;55
Penukal Abab Lematang Ilir;17;68.65;8680000;65.75;108
Pesawaran;14;69.44;8192000;66.7;374
Pesisir Barat;12;63.99;8663000;65.14;55
Pesisir Selatan;12;71.25;9686000;70.84;88
Pidie;9;67.15;10211000;71.2;138
Pidie Jaya;8;70.41;10701000;74.34;171
Pinrang;14;70.15;12102000;71.97;180
Pohuwato;15;64.62;10913000;66.53;34
Polewali Mandar;14;62.86;8726000;64.79;292
Ponorogo;14;73.2;10199000;71.87;728
Poso;11;71.19;9218000;71.93;35
Pringsewu;15;70.65;10577000;70.98;660
Probolinggo;16;67.78;11254000;66.96;680
Pulang Pisau;11;68.36;10273000;69.01;15
Puncak;24;66.13;5583000;43.87;15
Puncak Jaya;31;65.66;5422000;49.84;38
Purbalingga;18;73.28;10277000;69.54;1474
Purwakarta;22;71.47;12193000;71.56;1209
Purworejo;17;75.03;10671000;73.6;706
Raja Ampat;12;65.12;8187000;64.65;8
Rejang Lebong;15;69.00;10547000;71.45;170
Rembang;17;74.68;10937000;71.00;728
Rokan Hilir;16;70.69;9906000;70.1;76
Rokan Hulu;16;70.51;9841000;70.31;79
Rote Ndao;14;65.26;6719000;63.21;113
Sabu Raijua;14;60.87;5558000;57.9;194
Sambas;18;69.39;10462000;67.95;95
Samosir;15;71.82;8991000;71.67;77
Sampang;16;68.38;8944000;63.39;787
Sanggau;16;71.58;8782000;66.91;38
Sarmi;16;66.74;6864000;64.86;3
Sarolangun;14;69.46;12069000;70.89;46
Sekadau;18;72.39;7566000;65.58;39
Seluma;12;68.13;8657000;67.76;84
Semarang;17;75.86;12448000;74.67;1109
Seram Bagian Barat;11;62.25;8890000;66.67;42
Seram Bagian Timur;11;60.06;9591000;65.05;21
Serang;22;65.18;10916000;67.75;936
Serdang Bedagai;18;69.21;11499000;71.21;344
Seruyan;13;69.46;9821000;68.24;10
Siak;15;71.37;12230000;74.5;60
Siau Tagulandang Biaro;10;71.27;8401000;68.94;262
Sidenreng Rappang;15;70.41;12379000;72.06;111
Sidoarjo;18;74.36;14808000;81.02;3284
Sigi;12;70.15;8498000;69.05;48
Sijunjung;15;66.7;10582000;68.69;76
Sikka;13;67.86;8362000;66.06;186
Simalungun;16;71.78;11524000;73.77;226
Simeulue;7;65.48;7371000;67.27;52
Sinjai;12;67.68;9726000;68.33;280
Sintang;16;72.12;8858000;67.86;19
Situbondo;14;69.62;10263000;68.25;411
Sleman;15;75.00;16438000;84.31;1959
Solok;14;69.19;10539000;70.02;105
Solok Selatan;11;68.38;10560000;69.71;55
Soppeng;10;70.2;9756000;69.7;165
Sorong;13;66.55;7607000;66.69;19
Sorong Selatan;13;66.72;6342000;63.08;8
Sragen;16;75.87;13052000;74.65;1038
Subang;18;72.92;11294000;69.87;843
Sukabumi;21;71.54;9210000;67.64;658
Sukamara;11;71.8;9225000;68.94;17
Sukoharjo;15;77.82;11841000;77.94;1856
Sumba Barat;15;67.35;7627000;64.43;197
Sumba Barat Daya;20;68.79;6779000;63.15;206
Sumba Tengah;11;68.65;6288000;62.71;46
Sumba Timur;16;65.38;9641000;66.17;35
Sumbawa;14;68.12;9598000;68.89;77
Sumbawa Barat;12;68.74;11987000;72.65;81
Sumedang;18;72.91;10776000;72.69;760
Sumenep;11;71.99;9388000;67.87;563
Supiori;14;66.36;5904000;63.65;34
Tabalong;13;70.84;11914000;73.13;68
Tabanan;16;74.1;14475000;76.75;548
Takalar;15;67.64;10746000;68.31;476
Tambrauw;11;60.68;5084000;54.63;3
Tana Tidung;10;71.51;8012000;68.6;6
Tana Toraja;15;73.72;7584000;69.88;108
Tanah Bumbu;15;70.7;12217000;71.79;65
Tanah Datar;14;70.49;10695000;73.29;279
Tanah Laut;14;69.86;11703000;70.35;97
Tangerang;23;70.28;12427000;72.97;3208
Tanggamus;14;68.95;9557000;67.22;221
Tanjung Jabung Barat;15;68.43;9968000;68.79;65
Tanjung Jabung Timur;14;66.66;9503000;65.77;43
Tapanuli Selatan;14;65.28;11727000;70.92;76
Tapanuli Tengah;14;67.58;10495000;70.31;159
Tapanuli Utara;15;69.16;11892000;74.14;83
Tapin;14;70.88;12247000;71.02;71
Tasikmalaya;17;69.95;8177000;66.84;732
Tebo;15;70.26;10725000;69.78;52
Tegal;20;71.85;10020000;69.53;1823
Teluk Bintuni;15;61.37;9979000;65.27;5
Teluk Wondama;16;60.57;8177000;60.87;11
Temanggung;18;75.7;9773000;70.77;944
Timor Tengah Selatan;14;66.68;7118000;62.73;116
Timor Tengah Utara;13;67.35;6559000;64.26;98
Toba Samosir;15;70.76;12475000;75.96;94
Tojo Una-Una;13;66.08;8096000;65.54;28
Tolikara;33;66.08;5079000;50.51;17
Toli-Toli;13;66.41;8191000;66.76;52
Toraja Utara;15;73.65;8494000;70.36;188
Trenggalek;15;74.26;10042000;71.00;638
Tuban;16;71.97;10703000;69.67;654
Tulang Bawang;16;70.22;11114000;69.53;140
Tulang Bawang Barat;15;70.23;8737000;67.13;223
Tulungagung;14;74.54;11162000;74.06;1033
Wajo;13;67.82;12729000;70.26;188
Wakatobi;11;70.59;9758000;70.85;198
Waropen;12;66.68;6919000;65.67;4
Way Kanan;14;69.69;9450000;68.04;130
Wonogiri;16;76.41;9780000;71.04;582
Wonosobo;20;72.05;11108000;68.89;896
Yahukimo;50;66.31;5101000;50.25;21
Yalimo;26;65.72;4802000;49.9;24
